"id-winter","winter","id-spring","spring","auth-id","course","rensponsible","day","day_for_order","time_spring_16","time_winter_15","classroom","place","team","team_for_order","teacher","url","team-description"
"SW050002","winter",,,,"Δυναμική ευκαμψία σε αθλητές και απροπόνητους","Γαλαζούλας","Πέμπτη","4",,"16.45-18.15","ΤΑΞΥΠ 2","ΑΠΘ","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=71","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
,,"SA04B012","spring","ΕΠ0166","Ευκαμψία και Απόδοση","Γαλαζούλας","Πέμπτη","4","16.45-18.15",,"ΤΑΞΥΠ 2","ΑΠΘ","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=71","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"SW050005","winter",,,,"Θεραπευτικές Εφαρμογές της Άσκησης","Μαμελετζή","Πέμπτη","4",,"16.45-18.15","ΤΑΞΥΠ 1","ΑΠΘ","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=70","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"SW050008","winter",,,,"Κολύμβηση Ατόμων με Αναπηρίες","Σιδηροπούλου ","Πέμπτη","4",,"15.00-16.30","Αίθουσα 2 Θέρμης ","Θέρμη","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=165","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"SW050011","winter","SA04B017","spring","ΕΠ0172","Ψυχολογία Παιδιού και Εφήβου","Τσορμπατζούδης","Πέμπτη","4","18.30-20.00","18.30-20.00","Αίθ.   Συνεδριάσεων","Θέρμη","5","6",,,"ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"SW060001","winter","SA060001","spring","21","Αεροβική γυμναστική","Τζέτζης","Πέμπτη","4","12.30-14.00","12.30-14.00","Τένις","Θέρμη","6","7",,"http://www.phed.auth.gr/etefaa/course/view.php?id=116","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060002","winter","SA060002","spring","ΕΠ017","Ακροβατική Γυμναστική","Στεφανίδης ","Πέμπτη","4","12.30-14.00","12.30-14.00","Πανεπιστημιακό γυμναστήριο","ΑΠΘ","6","7",,"http://www.phed.auth.gr/etefaa/course/view.php?id=114","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060008","winter",,,,"Ενόργανη Αγωνιστική Γυμναστική","Στεφανίδης","Πέμπτη","4",,"15.00-16.30","Πανεπιστημιακό γυμναστήριο ","ΑΠΘ","6","7","Στεφανίδης","http://www.phed.auth.gr/etefaa/course/view.php?id=172","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060009","winter","SA060006","spring","47","Ιστιοπλοΐα","Αλεξίου","Πέμπτη","4","12.30-14.00","12.30-14.00","Πλαζ Αρετσού",,"6","7","Κώστας","http://www.phed.auth.gr/etefaa/course/view.php?id=104","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060010","winter","SA060007","spring","ΕΠ0115","Καράτε","Ζαγγελίδης","Πέμπτη","4","12.30-14.00","12.30-14.00","Πανεπ. Γυμν. Αίθουσα 45 ","ΑΠΘ","6","7","Zαγγελίδης","http://www.phed.auth.gr/etefaa/course/view.php?id=103","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060019","winter",,,,"Ποδηλασία","Χριστούλας ","Πέμπτη","4",,"15.00-16.30","ΤΑΞΥΠ 3","ΑΠΘ","6","7","Χριστούλας ","http://www.phed.auth.gr/etefaa/course/view.php?id=89","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060028","winter","SA060016","spring","25","Υποβρύχιες Καταδύσεις","Θώμογλου","Πέμπτη","4","12.30-14.00","12.30-14.00","Εθνικό Κολυμβητήριο","ΑΠΘ","6","7","Θώμογλου","http://www.phed.auth.gr/etefaa/course/view.php?id=80","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW04A003","winter",,,"61","Βιοχημική Αξιολόγηση της Αθλητικής Απόδοσης","Κόλλιας","Πέμπτη","4",,"18.30-20.00","Εργαστήριο( Βιοκ/κής Θέρμη ","Θέρμη","4A","4",,"http://www.phed.auth.gr/etefaa/course/view.php?id=56","ομάδα 4A - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Αγωνιστικός Αθλητισμός"
