"exetastiki","year","day","date","fulldate","class","course","time","place"
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","Β4","Βιοκινητική","18.00-19.00 ","Αμφιθέατρο Ιατρικής "
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","Β5","Βιοκινητική","18.00-19.00 ","Αμφιθέατρο Ιατρικής "
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","Β6","Βιοκινητική","19.00-20.00 ","Αμφιθέατρο Ιατρικής "
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","Β7","Βιοκινητική","19.00-20.00 ","Αμφιθέατρο Ιατρικής "
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","Β8","Βιοκινητική","19.00-20.00 ","Αμφιθέατρο Ιατρικής "
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","Β9","Βιοκινητική","19.00-20.00 ","Αμφιθέατρο Ιατρικής "
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","Α10 ","Βιοκινητική","19.00-20.00 ","Αμφιθέατρο Ιατρικής "
"Jan 2016","b","Δευτέρα","01/02/2016","Δευτέρα 01/02/2016","Β2","Ενόργανη Γυμναστική ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Δευτέρα","01/02/2016","Δευτέρα 01/02/2016","Β4","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Δευτέρα","01/02/2016","Δευτέρα 01/02/2016","Β7","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο "
"Jan 2016","b","Δευτέρα","01/02/2016","Δευτέρα 01/02/2016","Β10","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη "
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","Β1","Διδακτική Ποδοσφαίρου Ι","10.00-11.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","Β2","Διδακτική Ποδοσφαίρου Ι","10.00-11.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","Β3","Διδακτική Ποδοσφαίρου Ι","10.00-11.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","Β4 ","Διδακτική Ποδοσφαίρου Ι","10.00-11.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","Β5","Διδακτική Ποδοσφαίρου Ι","11.00-12.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","Β6","Διδακτική Ποδοσφαίρου Ι","11.00-12.00 ","ΤΑΞΥΠ"
