"auth-id","title","rensponsible","day","time","classroom","place","team","teacher","url","semester","team-description"
"ΕΠ0165","Διδακτική της Φ.Α. στην Προσχολική Ηλικία","Τσορμπατζούδης","Τετάρτη","12.30-14.00","ΤΑΞΥΠ 1","ΑΠΘ","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=73","autumn","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"ΕΠ0140","Αθλητική Αναψυχή σε Τουριστικά Κέντρα","Αλεξανδρής","Πέμπτη","18.30-20.00","ΤΑΞΥΠ 2 ","ΑΠΘ","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=75","autumn","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"ΕΠ0166","Ευκαμψία και Απόδοση","Γαλαζούλας","Πέμπτη","16.45-18.15","ΤΑΞΥΠ 2","ΑΠΘ","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=71","autumn","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"ΕΠ0192","Ειδικά Θέματα Ολυμπιακής Παιδείας - Οικολογίας","Καϊμακάμης","Τρίτη","18.30-20.00","Αίθουσα 1","Θέρμης","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=178","autumn","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"ΕΠ0224","Ορθοσωμική Γυμναστική ","Γιαγκουδάκη","Δευτέρα","18.30-20.00","ΤΑΞΥΠ 1","ΑΠΘ","5",,,"autumn","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"ΕΠ0169","Παχυσαρκία και Φυσική Δραστηριότητα","Μαυροβουνιώτης","Τρίτη","18.30-20.00","ΤΑΞΥΠ 1","ΑΠΘ","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=168","autumn","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"ΕΠ0130","Φυσική Αγωγή ως Μέσο Πρόληψης Διαταραχών Σωματικής Υγείας","Μαυροβουνιώτης","Τετάρτη","18.30-20.00","ΤΑΞΥΠ 1","ΑΠΘ","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=65","autumn","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"ΕΠ0191","Ψυχολογία Φυσικής Αγωγής και Φυσικής Δραστηριότητας","Μπαρκούκης","Τρίτη","16.45-18.15","ΤΑΞΥΠ 2","ΑΠΘ","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=177","autumn","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"ΕΠ0172","Ψυχολογία Παιδιού και Εφήβου","Τσορμπατζούδης","Πέμπτη","18.30-20.00","Αίθ.   Συνεδριάσεων","Θέρμης","5",,,"autumn","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"ΕΠ0173","Άρση βαρών","Κέλλης","Δευτέρα","12.30-14.00","Αλεξάνδρειο","ΑΠΘ",6,"Ζαρζαβατσίδη Καζακλή","http://www.phed.auth.gr/etefaa/course/view.php?id=110","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"ΕΠ0142","Ειδικές Εφαρμογές της Αθλητικής Φυσικοθεραπείας","Συκαράς","Τρίτη","18.30-20.00","ΤΑΞΥΠ 3 ","ΑΠΘ",6,"Συκαράς","http://www.phed.auth.gr/etefaa/course/view.php?id=174","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"021","Αεροβική γυμναστική","Τζέτζης","Τετάρτη","15.00-16.30","Τένις","Θέρμης",6,,"http://www.phed.auth.gr/etefaa/course/view.php?id=116","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
