"course","url","team",
"Αθλήματα Περιπέτειας","http://www.phed.auth.gr/etefaa/course/view.php?id=115",6,
"Ακροβατική Γυμναστική","http://www.phed.auth.gr/etefaa/course/view.php?id=114",6,
"Αντιπτέριση","http://www.phed.auth.gr/etefaa/course/view.php?id=112",6,
"Αντισφαίριση","http://www.phed.auth.gr/etefaa/course/view.php?id=111",6,
"Άρση Βαρών","http://www.phed.auth.gr/etefaa/course/view.php?id=110",6,
"Γενική Γυμναστική","http://www.phed.auth.gr/etefaa/course/view.php?id=77",6,
"Διεθνείς Χοροί","http://www.phed.auth.gr/etefaa/course/view.php?id=109",6,
"Ειδικές Εφαρμογές της Αθλητικής Φυσικοθεραπείας","http://www.phed.auth.gr/etefaa/course/view.php?id=174",6,
"Εκμάθηση Κολύμβησης","http://www.phed.auth.gr/etefaa/course/view.php?id=108",6,
"Ενόργανη Αγωνιστική Γυμναστική","http://www.phed.auth.gr/etefaa/course/view.php?id=107",6,
"Επιτραπέζια Αντισφαίριση","http://www.phed.auth.gr/etefaa/course/view.php?id=106",6,
"Ιππασία","http://www.phed.auth.gr/etefaa/course/view.php?id=105",6,
"Ιστιοπλοΐα","http://www.phed.auth.gr/etefaa/course/view.php?id=104",6,
"Καράτε","http://www.phed.auth.gr/etefaa/course/view.php?id=103",6,
"Καταδύσεις","http://www.phed.auth.gr/etefaa/course/view.php?id=102",6,
"Κατασκηνωτικά - Υπαίθρια Ζωή","http://www.phed.auth.gr/etefaa/course/view.php?id=101",6,
"Κλασικό Μπαλέτο","http://www.phed.auth.gr/etefaa/course/view.php?id=171",6,
"Κρίκετ","http://www.phed.auth.gr/etefaa/course/view.php?id=100",6,
"Κωπηλασία","http://www.phed.auth.gr/etefaa/course/view.php?id=99",6,
"Μαχητικά αθλήματα - Αυτοάμυνα","http://www.phed.auth.gr/etefaa/course/view.php?id=76",6,
"Μοντέρνος Χορός","http://www.phed.auth.gr/etefaa/course/view.php?id=172",6,
"Μπέιζμπολ και Σόφτμπολ","http://www.phed.auth.gr/etefaa/course/view.php?id=98",6,
"Ναυαγοσωστική","http://www.phed.auth.gr/etefaa/course/view.php?id=97",6,
"Ξιφασκία","http://www.phed.auth.gr/etefaa/course/view.php?id=96",6,
"Ορειβασία","http://www.phed.auth.gr/etefaa/course/view.php?id=95",6,
"Παιδαγωγικά Παιχνίδια","http://www.phed.auth.gr/etefaa/course/view.php?id=94",6,
"Πάλη","http://www.phed.auth.gr/etefaa/course/view.php?id=93",6,
"Πετοσφαίριση Παραλίας","http://www.phed.auth.gr/etefaa/course/view.php?id=92",6,
"Ποδηλασία","http://www.phed.auth.gr/etefaa/course/view.php?id=91",6,
"Πυγμαχία","http://www.phed.auth.gr/etefaa/course/view.php?id=90",6,
"Ρυθμική Γυμναστική Επιδείξεων","http://www.phed.auth.gr/etefaa/course/view.php?id=89",6,
"Συγχρονισμένη Κολύμβηση","http://www.phed.auth.gr/etefaa/course/view.php?id=88",6,
"Ταεκβοντό","http://www.phed.auth.gr/etefaa/course/view.php?id=87",6,
"Τεχνικές Ασκήσεων Ανάπτυξης Ταχυδύναμης","http://www.phed.auth.gr/etefaa/course/view.php?id=86",6,
"Τζούντο","http://www.phed.auth.gr/etefaa/course/view.php?id=85",6,
"Τοξοβολία","http://www.phed.auth.gr/etefaa/course/view.php?id=84",6,
"Τραμπολίνο","http://www.phed.auth.gr/etefaa/course/view.php?id=113",6,
"Τρίαθλο","http://www.phed.auth.gr/etefaa/course/view.php?id=83",6,
"Υδατοσφαίριση","http://www.phed.auth.gr/etefaa/course/view.php?id=82",6,
"Υδρογυμναστική - Υδροαεροβική","http://www.phed.auth.gr/etefaa/course/view.php?id=81",6,
"Υποβρύχιες Καταδύσεις","http://www.phed.auth.gr/etefaa/course/view.php?id=80",6,
"Φυσικοθεραπεία Ατόμων με Ειδικές Ανάγκες","http://www.phed.auth.gr/etefaa/course/view.php?id=173",6,
"Χιονοδρομία","http://www.phed.auth.gr/etefaa/course/view.php?id=79",6,
"Χορογραφία Επιδείξεων","http://www.phed.auth.gr/etefaa/course/view.php?id=78",6,
"Αντιπτέριση","http://www.phed.auth.gr/etefaa/course/view.php?id=117",7,
"Αντισφαίριση","http://www.phed.auth.gr/etefaa/course/view.php?id=137",7,
"Άρση Βαρών","http://www.phed.auth.gr/etefaa/course/view.php?id=136",7,
"Ενόργανη Γυμναστική","http://www.phed.auth.gr/etefaa/course/view.php?id=135",7,
"Ιστιοπλοΐα","http://www.phed.auth.gr/etefaa/course/view.php?id=134",7,
"Καλαθοσφαίριση","http://www.phed.auth.gr/etefaa/course/view.php?id=133",7,
"Κλασικός Αθλητισμός - Α εξάμηνο","http://www.phed.auth.gr/etefaa/course/view.php?id=132",7,
"Κλασικός Αθλητισμός - Β εξάμηνο","http://www.phed.auth.gr/etefaa/course/view.php?id=179",7,
"Κολύμβηση","http://www.phed.auth.gr/etefaa/course/view.php?id=131",7,
"Κωπηλασία","http://www.phed.auth.gr/etefaa/course/view.php?id=130",7,
"Μαχητικά Αθλήματα - Αυτοάμυνα","http://www.phed.auth.gr/etefaa/course/view.php?id=175",7,
"Ναυαγοσωστική","http://www.phed.auth.gr/etefaa/course/view.php?id=118",7,
"Πάλη","http://www.phed.auth.gr/etefaa/course/view.php?id=129",7,
"Πετοσφαίριση","http://www.phed.auth.gr/etefaa/course/view.php?id=128",7,
"Ποδηλασία","http://www.phed.auth.gr/etefaa/course/view.php?id=119",7,
"Ποδόσφαιρο","http://www.phed.auth.gr/etefaa/course/view.php?id=127",7,
