"exetastiki","year","day","date","fulldate","class","course","time","place","type"
"Jan 2016","b","Δευτέρα","01/02/2016","Δευτέρα 01/02/2016","B2","Ενόργανη Γυμναστική ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
"Jan 2016","b","Δευτέρα","01/02/2016","Δευτέρα 01/02/2016","B4","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
"Jan 2016","b","Δευτέρα","01/02/2016","Δευτέρα 01/02/2016","B7","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο ","πράξη"
"Jan 2016","b","Δευτέρα","01/02/2016","Δευτέρα 01/02/2016","B10","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη ","πράξη"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","B1","Διδακτική Ποδοσφαίρου Ι","10.00-11.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","B2","Διδακτική Ποδοσφαίρου Ι","10.00-11.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","B3","Διδακτική Ποδοσφαίρου Ι","10.00-11.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","B4","Διδακτική Ποδοσφαίρου Ι","10.00-11.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","B5","Διδακτική Ποδοσφαίρου Ι","11.00-12.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","B6","Διδακτική Ποδοσφαίρου Ι","11.00-12.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","B7","Διδακτική Ποδοσφαίρου Ι","11.00-12.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","B8","Διδακτική Ποδοσφαίρου Ι","11.00-12.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","B9","Διδακτική Ποδοσφαίρου Ι","12.00-13.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Τρίτη","02/02/2016","Τρίτη 02/02/2016","B10","Διδακτική Ποδοσφαίρου Ι","12.00-13.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Τετάρτη","03/02/2016","Τετάρτη 03/02/2016","B3","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη ","πράξη"
"Jan 2016","b","Τετάρτη","03/02/2016","Τετάρτη 03/02/2016","B4","Ενόργανη Γυμναστική ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
"Jan 2016","b","Τετάρτη","03/02/2016","Τετάρτη 03/02/2016","B5","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο ","πράξη"
